commenter,commenter_city,content,sentiment
阿*华,河北,兵马俑博物馆感觉很壮观，兵俑列阵。总共四个坑，第四个坑烂尾了。第一个坑最大，兵俑最多。听说出土时没有完整的俑，都是考古工作者一点一点拼起来的。感谢我们的考古学家，考古工作者们。后来又去了骊山园，看了铜马车，感叹古代劳动人民的智慧。了解了历史，长了知识，一次很好的旅行。,积极
李*霖,广东,身份证实名预订及入园比较方便，也是对比好几个平台刷新预约，暑假人多，套票 120是包含2部分，兵马俑博物院（出土陶俑坑）和丽山园（陵墓+铜车马等），可以看时间错峰，兵马俑博物院游览1号坑-号坑-2号坑-（4号没开放也没的看），重点是1号坑似蒸炉房，其他有空调，合理安排时间，务必请个讲解，景区报价三小时90元，我是在里面缘分遇到的啊杜导游，25元/人，刚好我们到凑够10来人就出发，讲解很细节很幽默，建议也很中肯，说里面有高价手信店也有闲散兜的不建议买，合理安排看完就离开了！下一站是丽山园，15元/人电瓶车可以带你多次坐车，一站接着一站，当然步行也可以就是太热的话受不了，最关键的是可以看铜车马多逗留点时间，其他还好按行程可以顺序观看，不可以逆行坐车，最后一站陵墓碑也是只下不上，有兴趣的逛逛，走出去也就一公里。综合下来，千古一帝的秦始皇，功绩及当时的工艺都是特别震撼，别总说本地人都不去的坑，成为世界第八大奇迹的华夏文物，需要我们自己感受再来判断！赞👍🏻,积极
b*9,陕西,华清池丁导取票陪同讲解，除了上兵谏亭坐电瓶车20一人来回和看西安12.12事变两个项目也是提前说明，没有强制消费。还有到山顶坐索道也是看个人意愿。说实在话华清池，兵马俑两个景点没有讲解员真心看不下去，不是坑🕳️就是泥人儿。兵马俑是里面得工作人员带领讲解得，一号坑不是在找人就是在找人得路上，人太多了，全是人头又热。二号坑得人也多有空调。三号坑没什么看头基本上都是破碎的俑。看完俑以后工作人员也到就到尾声自由活动看蓝田玉买不买看个人。回程路上美食一条街和各种文创产品。,消极
哈*旅,陕西,买了联票，带讲解，但我们没有请黄马甲，孩子们喜欢随走随看。看现场跟看纪录片完全两种感觉。丽山元一定去看，那辆惊世骇俗的马车太精彩了。一定要坐电瓶车，不然走下来不是迷路就是崩溃。看到外国小伙走在路上那张苦瓜脸就明白了。华清宫，我们去得吃了，没坐上索道。一路走下来还可以。人家洗澡的地方还能被后人品评观看，顿时觉得自己是否有些不礼貌，呵呵。除了皇帝的浴池大点，其他人的都不大。现在看来都比不上厦门日月谷豪华。,积极
去*户,陕西,从订票开始，无论是客服一遍遍不厌其烦的帮忙预约订单，安排的耿耿导游也是相当 nice，很专业，很幽默风趣，亲切细心！安排出行等各个方面都帮我们安排的相当到位！一点儿都不用自己再操心了。因为有你们，让我们爱上了西安这座城！真的是一次不错的体验！不枉我们这次的千里之行自自希望以后还能有机会再来这座可爱,积极
去*户,陕西,兵马俑华清池终于看完了，天气很热，但是导游的热情让我如沐春风，早晨热心的叫早，晚上负责的安排返程，一路上车不停嘴不停，行程安排很合理，满意如果你想选择一家有保障，能玩得好看的好，而且不用费心的旅行社强烈推荐!,积极
何*淼,陕西,非常感谢陕西中超国际旅行社为我们提供了如此优质的旅游体验，也特别感谢导游耿耿的辛勤付出和专业素养。本次一日游给我留下了极其深刻的印象，我会毫不犹豫地向身边的朋友们推荐你们，期待未来还能有更多这样精彩的旅行体验。,积极
l*h,山东,今天华清池兵马俑一日游的体感非常好，早上车到酒店接，真的是省心又省力，早上导游小张接上我们，介绍西安千年古都文化，讲解详细，风趣幽默，下午我们参观兵马俑，世界第八大奇迹实至名归，一天玩的很开心，西安旅游强烈推荐大家过来。,积极
去*户,陕西,这次的体验真的太棒了！服务好得没话说，工作人员热情周到，响应及时，每一个细节都处理得极为妥当；态度更是让人如沐春风，始终保持着亲切与耐心；路线规划也非常好，合理且高效，让人能够轻松且顺利地到达各个目的地。总之，这在服务、态度和路线方面都表现得极其出色，令人十分满意和赞赏！,积极
故*人,陕西,导游岳岳服务很好！   讲解的非常专业！！  兵马俑华清池收货非常多！！对西安景点理解非常深！！让我们对西安进行很好的交接！！！导游岳岳对我们也非常照顾！态度非常好！！讲解的也比较深！！讲解的也比较辛苦！,积极
